ticker,spot,vol_30d,corr_3m,corr_6m,corr_12m,put_pct_3m,put_pct_6m,put_pct_12m,hedge_cost_3m,hedge_cost_6m,hedge_cost_12m,ytd_return,1y_return,score_long,score_short
ONON,41.4600,0.368890,0.058357,0.119453,0.060874,0.092471,0.124114,0.162421,23117.70,31028.52,40605.34,-0.116933,0.294816,0.295143,0.392332
DDOG,125.7500,0.788204,0.056181,0.013031,0.005715,0.197284,0.264579,0.345668,49320.89,66144.76,86416.96,-0.059954,0.023273,-0.007779,0.045364
CHRD,121.3600,0.374999,-0.054939,0.005558,0.010233,0.094101,0.126355,0.165450,23525.14,31588.69,41362.46,0.281791,-0.178661,0.340727,0.336972
SWK,76.0800,0.372204,-0.054771,0.002182,-0.017287,0.093355,0.125330,0.164066,23338.82,31332.61,41016.48,-0.005100,-0.102555,0.346180,0.335992
ZS,164.0600,0.738302,0.054019,0.060877,0.027138,0.185397,0.248964,0.325881,46349.20,62241.07,81470.35,-0.256200,-0.184876,0.021234,0.091934
WOR,51.0300,0.257453,-0.053961,-0.027926,0.000058,0.061848,0.081545,0.104038,15462.07,20386.27,26009.62,-0.017898,-0.179227,0.407882,0.352535
RRX,186.5000,0.557557,-0.053784,0.008082,-0.008331,0.141135,0.190148,0.250082,35283.79,47537.08,62520.62,0.276523,0.123929,0.198341,0.192208
AA,59.6500,0.544121,-0.053520,0.017126,0.013091,0.137763,0.185623,0.244167,34440.81,46405.70,61041.63,0.055005,1.039029,0.205209,0.206205
WULF,13.7500,1.197261,-0.050698,-0.042857,-0.004867,0.289832,0.383505,0.491379,72457.90,95876.17,122844.74,0.079278,6.472826,0.019590,-0.019590
XLP,85.7800,0.157806,-0.049106,-0.010836,-0.047106,0.034328,0.043398,0.052120,8582.04,10849.46,13029.96,0.104132,0.195877,0.410243,0.353018
REMX,92.5300,0.615688,-0.048216,-0.032193,-0.053826,0.155587,0.209471,0.275206,38896.85,52367.82,68801.53,0.205132,0.863864,0.162609,0.138078
CTRA,31.0300,0.318663,0.048137,-0.007944,-0.021596,0.078866,0.105300,0.136792,19716.59,26325.07,34197.91,0.166541,0.268384,0.365552,0.377849
ARKK,72.4000,0.405348,0.047327,0.075525,0.056330,0.102131,0.137361,0.180262,25532.81,34340.24,45065.39,-0.075469,0.440796,0.275871,0.353457
BHP,71.8500,0.419810,-0.045678,0.007143,-0.034260,0.105923,0.142539,0.187196,26480.74,35634.72,46798.89,0.186284,0.329270,0.306965,0.299417
DTM,141.5500,0.157661,-0.045287,-0.098372,-0.127686,0.034289,0.043344,0.052047,8572.16,10835.89,13011.77,0.169931,1.607948,0.430478,0.332785
QLYS,98.6600,0.642971,0.045175,0.072191,0.035900,0.162297,0.218403,0.286745,40574.28,54600.68,71686.32,-0.246928,-0.412388,0.093654,0.165078
STAG,38.1000,0.243639,0.044274,0.034199,-0.038224,0.058010,0.076197,0.096691,14502.57,19049.24,24172.70,0.031961,0.109721,0.378064,0.382816
GMED,87.1000,0.254389,-0.043815,-0.003164,0.006500,0.060997,0.080358,0.102406,15249.13,20089.41,25601.43,-0.002291,0.601692,0.401039,0.359483
HESM,39.2600,0.202028,0.043056,0.065948,-0.009377,0.046485,0.060183,0.074800,11621.37,15045.64,18700.05,0.133045,0.286057,0.371365,0.390801
SCCO,184.9700,0.722424,-0.043003,0.002761,-0.014089,0.181586,0.243942,0.319487,45396.39,60985.41,79871.67,0.259999,1.394388,0.070398,0.066906
NVST,26.8600,0.573437,-0.042361,0.019026,-0.064595,0.145105,0.195468,0.257021,36276.25,48866.97,64255.21,0.238359,0.271178,0.187163,0.178772
DIA,475.2300,0.133923,-0.042175,0.022703,0.011321,0.027828,0.034500,0.040276,6956.99,8624.92,10069.08,-0.015792,0.262959,0.397834,0.365821
